timestamp,flare_prob,goes_class,fl_location,flare_start
2011-01-03 00:00:00,0.0691086649894714,C1.1,"(-5, -14)",2011-01-03 23:26:00
2011-01-03 01:00:00,0.0594342723488807,C1.1,"(-5, -14)",2011-01-03 23:26:00
2011-01-03 02:00:00,0.0592892058193683,C1.1,"(-5, -14)",2011-01-03 23:26:00
2011-01-03 03:00:00,0.0542456768453121,C1.1,"(-5, -14)",2011-01-03 23:26:00
2011-01-03 04:00:00,0.0567559525370597,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 05:00:00,0.0510079003870487,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 06:00:00,0.0599567629396915,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 07:00:00,0.0576489083468914,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 08:00:00,0.0635231584310531,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 09:00:00,0.0708211213350296,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 10:00:00,0.0580413825809955,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 11:00:00,0.0593563728034496,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 12:00:00,0.0595882758498191,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 13:00:00,0.0615495778620243,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 14:00:00,0.0600531920790672,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 15:00:00,0.0588562712073326,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 16:00:00,0.060380358248949,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 17:00:00,0.0677230805158615,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 18:00:00,0.0851533412933349,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 19:00:00,0.0618421584367752,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 20:00:00,0.0723601207137107,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 21:00:00,0.0588059239089489,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 22:00:00,0.0722483694553375,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-03 23:00:00,0.065947838127613,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-04 00:00:00,0.0864973068237304,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-04 01:00:00,0.0823603570461273,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
2011-01-04 02:00:00,0.0897825211286544,C1.9,"(51.892885486671624, 35)",2011-01-04 03:19:00
