timestamp,flare_prob,goes_class,fl_location,flare_start
2011-02-15 00:00:00,0.779848575592041,X2.2,"(15.115929105638052, -21)",2011-02-15 01:44:00
2011-02-15 01:00:00,0.8037874698638916,X2.2,"(15.115929105638052, -21)",2011-02-15 01:44:00
2011-03-09 00:00:00,0.8349217176437378,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 01:00:00,0.8520649075508118,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 02:00:00,0.8550712466239929,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 03:00:00,0.8303306698799133,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 04:00:00,0.8111268281936646,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 05:00:00,0.8602399230003357,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 06:00:00,0.8422792553901672,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 07:00:00,0.8094322681427002,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 08:00:00,0.79647296667099,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 09:00:00,0.8038710355758667,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 10:00:00,0.7902517318725586,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 11:00:00,0.7893204689025879,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 12:00:00,0.7180073857307434,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 13:00:00,0.7404043078422546,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 14:00:00,0.7626622319221497,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 15:00:00,0.8145143985748291,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 16:00:00,0.8085017800331116,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 17:00:00,0.7704302668571472,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 18:00:00,0.8336544036865234,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 19:00:00,0.8263304829597473,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 20:00:00,0.8252037763595581,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 22:00:00,0.826687753200531,X1.5,"(9, 8)",2011-03-09 23:13:00
2011-03-09 23:00:00,0.767338752746582,X1.5,"(9, 8)",2011-03-09 23:13:00
2014-01-06 19:00:00,0.9596792459487916,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-06 20:00:00,0.957487165927887,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-06 21:00:00,0.962209165096283,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-06 22:00:00,0.9615126252174376,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-06 23:00:00,0.967627227306366,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 00:00:00,0.9664313793182372,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 01:00:00,0.9641002416610718,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 02:00:00,0.9773157835006714,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 03:00:00,0.9662989974021912,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 04:00:00,0.9771743416786194,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 05:00:00,0.9641810059547424,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 06:00:00,0.9658911228179932,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
2014-01-07 07:00:00,0.963567554950714,X1.2,"(-0.20414788244112136, -9)",2014-01-07 18:04:00
